Property ID,Locality name,Postal code,price,Type of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,Cadastral income,region
10977808,Lede,9340,219000,house,1957.0,3.0,370.0,184.0,0.0,,,,,,3.0,,To renovate,F,729.0,,Non flood zone,1.0,733.0,Flanders
11205570,Fleurus,6220,222000,house,,3.0,367.0,120.0,1.0,,,,,,3.0,,Good,D,292.0,Fuel oil,,1.0,862.0,Wallonia
20151943,Tubize,1480,225000,apartment,1994.0,2.0,,90.0,1.0,,,,,,2.0,,To renovate,B,148.0,,,1.0,1125.0,Wallonia
20161750,Mechelen,2800,225000,house,1930.0,3.0,156.0,135.0,0.0,,,,82.0,South East,3.0,,To renovate,F,925.0,,Non flood zone,,451.0,Flanders
11458445,Spiere-Helkijn,8587,225000,apartment,1990.0,2.0,,115.0,1.0,,,7.0,,,,,Good,B,184.0,Gas,,1.0,175.0,Flanders
20130247,Houthulst,8650,225625,apartment,2011.0,3.0,,123.0,1.0,0.0,,,,,,,Good,B,104.0,Gas,Non flood zone,1.0,671.0,Flanders
20130241,Houthulst,8650,227525,apartment,2011.0,3.0,,131.0,1.0,0.0,,,,,,,Good,B,104.0,Gas,Non flood zone,1.0,671.0,Flanders
20110731,Ans,4430,230000,house,,4.0,433.0,158.0,1.0,0.0,,40.0,380.0,,2.0,0.0,Good,D,261.0,,Non flood zone,1.0,744.0,Wallonia
20133296,Gent,9000,230000,apartment,1999.0,1.0,,58.0,,0.0,,,,,,,Good,C,233.0,Electric,Non flood zone,1.0,870.0,Flanders
20074233,Molenbeek-Saint-Jean,1080,235000,apartment,1998.0,2.0,,106.0,1.0,,,9.0,,,2.0,,As new,F,,Electric,,1.0,,Brussels
20164266,Rumst,2840,235000,apartment,1984.0,2.0,,110.0,1.0,0.0,,11.0,,,,,Good,D,351.0,,,1.0,520.0,Flanders
11439599,Lomprez,6924,239000,house,1910.0,3.0,1630.0,186.0,1.0,,,,,,4.0,,To renovate,F,468.0,,Non flood zone,1.0,770.0,Wallonia
20019022,Avelgem,8580,239000,house,,6.0,247.0,268.0,1.0,,,,247.0,West,,,To be done up,F,579.0,Fuel oil,Non flood zone,1.0,,Flanders
20053869,Ronse,9600,239000,house,1949.0,4.0,176.0,175.0,1.0,0.0,,4.0,100.0,,2.0,,Good,B,185.0,Gas,Non flood zone,1.0,,Flanders
20044911,Anderlecht,1070,245000,apartment,1950.0,1.0,,80.0,1.0,0.0,,10.0,,,,,Good,D,197.0,Gas,Non flood zone,,986.0,Brussels
11368275,Tienen,3300,245000,apartment,,2.0,,87.0,1.0,,,,,,3.0,,Just renovated,C,271.0,Gas,Non flood zone,1.0,700.0,Flanders
11324180,Arquennes,7181,245000,house,1800.0,2.0,421.0,120.0,1.0,0.0,,,421.0,,4.0,,Good,G,704.0,Fuel oil,Non flood zone,,446.0,Wallonia
11383541,Halle,1500,249000,apartment,1991.0,2.0,,93.0,1.0,,,,,,2.0,,Good,A,90.0,Gas,Non flood zone,1.0,1135.0,Flanders
20075188,Bressoux,4020,249000,apartment,2018.0,3.0,,105.0,1.0,0.0,,8.0,30.0,,2.0,,As new,B,100.0,Gas,Non flood zone,,940.0,Wallonia
11480120,Marche-en-Famenne,6900,249000,house,1919.0,5.0,2185.0,171.0,0.0,0.0,,,2185.0,,4.0,,To be done up,F,466.0,Fuel oil,Non flood zone,,,Wallonia
20068412,Ronse,9600,249000,house,1965.0,3.0,636.0,159.0,1.0,,,,,,4.0,,Good,F,936.0,Fuel oil,Non flood zone,0.0,842.0,Flanders
10423650,Saint-Gilles,1060,250000,apartment,1926.0,1.0,,55.0,1.0,0.0,,,,,2.0,0.0,Good,E,214.0,Gas,,1.0,,Brussels
10970672,Genappe,1470,250000,house,,1.0,1000.0,85.0,1.0,,,,915.0,West,4.0,,To be done up,G,776.0,Pellet,,1.0,821.0,Wallonia
11202293,Oostende,8400,250000,apartment,1959.0,2.0,,85.0,1.0,,,,,,,,To be done up,Not specified,,Fuel oil,Non flood zone,1.0,,Flanders
20227460,Ieper,8900,220000,apartment,2001.0,2.0,,93.0,1.0,,,12.0,,,,,As new,B,160.0,Electric,,1.0,700.0,Flanders
20227458,Turnhout,2300,235000,apartment,,2.0,,106.0,,,,,,,,,,B,139.0,Gas,,1.0,,Flanders
20227454,Fosses-la-Ville,5070,275000,house,2008.0,4.0,,115.0,1.0,,,,,,,,Good,D,327.0,Electric,,1.0,,Wallonia
20227442,Aartselaar,2630,265000,apartment,1990.0,2.0,,110.0,1.0,0.0,,7.0,,,2.0,0.0,Good,B,111.0,,Non flood zone,1.0,,Flanders
20227437,Blankenberge,8370,395000,apartment,1995.0,4.0,,124.0,,1.0,,35.0,,,,,,C,236.0,,Non flood zone,1.0,1046.0,Flanders
20227429,Wommelgem,2160,549000,house,1954.0,5.0,1400.0,221.0,,,,,554.0,East,1.0,,As new,D,,Electric,Non flood zone,1.0,1073.0,Flanders
20227414,Stabroek,2940,259000,house,1920.0,2.0,90.0,70.0,1.0,,,21.0,,,3.0,,Good,D,335.0,Gas,Non flood zone,1.0,379.0,Flanders
20143552,Roeselare,8800,225000,house,,3.0,214.0,202.0,,,,,,,,,Good,D,399.0,,,1.0,,Flanders
20227408,Duffel,2570,499000,house,1990.0,4.0,351.0,230.0,1.0,0.0,,20.0,,,3.0,,As new,C,214.0,Electric,Non flood zone,,1177.0,Flanders
20227406,Zottegem,9620,334000,house,,4.0,779.0,220.0,1.0,,,,,,,,Good,F,515.0,Pellet,,1.0,483.0,Flanders
